2026-02-06 06:47:39.693953 - FACE_LOCKED: Face locked: Bahati
2026-02-06 06:47:44.782606 - SMILE: Smile detected (ratio: 143.16)
2026-02-06 06:47:46.961010 - HEAD_LEFT: Moved left by 55.3px
2026-02-06 06:47:48.680987 - HEAD_LEFT: Moved left by 12.8px
2026-02-06 06:47:49.656651 - SMILE: Smile detected (ratio: 64.69)
2026-02-06 06:47:50.929158 - HEAD_RIGHT: Moved right by 16.9px
2026-02-06 06:47:53.240836 - HEAD_RIGHT: Moved right by 16.9px
2026-02-06 06:47:53.240836 - SMILE: Smile detected (ratio: 44.38)
2026-02-06 06:47:58.614251 - SMILE: Smile detected (ratio: 66.79)
2026-02-06 06:48:00.683257 - SMILE: Smile detected (ratio: 141.63)
2026-02-06 06:48:03.484470 - SMILE: Smile detected (ratio: 1036.76)
2026-02-06 06:48:13.225199 - HEAD_RIGHT: Moved right by 11.8px
2026-02-06 06:48:16.139038 - HEAD_RIGHT: Moved right by 18.3px
